Date,City,Venue,Bands,Notes

2005-07-12,"Vancouver, BC",Thunderbird Stadium,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack, Alexisonfire + more",Vans Warped Tour

2005-07-13,"Edmonton, AB",The Starlite,Emery,

2005-07-14,"Calgary, AB",Race City Speedway,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack, Alexisonfire + more",Vans Warped Tour

2005-07-15,"Bozeman, MT",Valley Ice Garden,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack + more",Vans Warped Tour

2005-07-16,"Salt Lake City, UT",Utah State Fairgrounds,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack + more",Vans Warped Tour

2005-07-17,"Denver, CO",Invesco Field,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack + more",Vans Warped Tour

2005-07-29,"Barrie, ON",Molson Park,"Fall Out Boy, My Chemical Romance, Thrice, Atreyu, Senses Fail, The Offspring, Avenged Sevenfold, The All-American Rejects, MxPx, Transplants, Hawthorne Heights, Underoath, Armor For Sleep, Emery, Boys Night Out, Motion City Soundtrack + more",Vans Warped Tour

2005-08-11,"Toronto, ON",The Opera House,,Wakestock Warmup

2005-08-13,"Toronto, ON",Toronto Island,"Reel Big Fish, Goldfinger, Finch, The Salads, Protest The Hero, The Reason, Bombs Over Providence, Summer Hero + more",Wakestock

2005-08-15,"Buffalo, NY",The Icon,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-16,"Farmingdale, NY",The Downtown,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-17,"Cambridge, MA",The Middle East,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-18,"Philadelphia, PA",North Star Bar,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-19,"Cleveland, OH",Grog Shop,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-21,"Randolph, NJ",Obsessions,"Stretch Arm Strong, Evergreen Terrace, Haste The Day, Good Clean Fun, Scary Kids Scaring Kids, Still Remains, Roses Are Red, Kane Hodder",Hellfest Makeup Show

2005-08-22,"Detroit, MI",Alvin's,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-23,"Chicago, IL",Bottom Lounge,"Evergreen Terrace, I Am The Avalanche, Scary Kids Scaring Kids",

2005-08-25,"Los Angeles, CA",Troubadour,"Scary Kids Scaring Kids, Underminded, June, Halifax",

2005-08-26,"San Francisco, CA",The Pound,"Scary Kids Scaring Kids, Underminded, June, Halifax",

2005-08-27,"Pomona, CA",Glasshouse,"Scary Kids Scaring Kids, Underminded, June, Halifax",

2005-08-28,"San Diego, CA",SOMA,"Scary Kids Scaring Kids, Underminded, June, Halifax",

2005-08-29,"Phoenix, AZ",The Clubhouse,"Scary Kids Scaring Kids, Underminded, June, Halifax",

2005-09-03,"Huntington, WV",Hyamp,"Underoath, Since By Man, Sullivan",

2005-09-04,"Pittston, PA",Staircase Theatre,"Underoath, Since By Man, Sullivan",

2005-09-05,"New Haven, CT",Toad's Place,"Underoath, Since By Man, Sullivan",

2005-09-06,"Syracuse, NY",Club Tundra,"Underoath, Since By Man, Sullivan",

2005-09-10,"Burlington, ON",YMCA,"The Reason, Bury Her Breathing, Dead and Divine, Protest The Hero",Discovering The Waterfront Record Release Show

2005-09-12,"Hamilton, ON",The Underground,"Underoath, Arise and Ruin, Farewell To Freeway",

2005-09-15,"New York, NY",Avalon,"Bayside, Action Action, June, The Forecast",Victory Records CMJ Showcase

2005-09-21,"Guelph, ON",The Palace,"Protest The Hero, Bombs Over Providence",

2005-09-22,"Ottawa, ON",Babylon,"Protest The Hero, Bombs Over Providence",

2005-09-23,"Quebec, QC",L'Anti,"Protest The Hero, Bombs Over Providence",

2005-09-24,"Trois Rivieres, QC",Makisart,"Protest The Hero, Bombs Over Providence",

2005-09-26,"St. Catharines, ON",L3,"Protest The Hero, Bombs Over Providence",

2005-09-27,"Mississauga, ON",University of Toronto Erindale,"Protest The Hero, Bombs Over Providence",

2005-09-28,"Oshawa, ON",The Dungeon,"Protest The Hero, Bombs Over Providence",

2005-09-29,"Windsor, ON",Octane,"Protest The Hero, Bombs Over Providence",

2005-09-30,"London, ON",The Embassy,"Protest The Hero, Bombs Over Providence",

2005-10-06,"Hamburg, Germany",Logo,Spitalfield,

2005-10-07,"Berlin, Germany",Magnet,Spitalfield,

2005-10-08,"Trier, Germany",Exhaus,Spitalfield,

2005-10-09,"Cologne, Germany",Underground,Spitalfield,

2005-10-10,"Frankfurt, Germany",25,Spitalfield,

2005-10-11,"Amsterdam, Netherlands",Melkweg,Spitalfield,

2005-10-12,"Rotterdam, Netherlands",Waterfront,Spitalfield,

2005-10-13,"Tilbourg, Netherlands",Batcave,Spitalfield,

2005-10-15,"Newport, England",TJ's,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-16,"Manchester, England",Academy 2,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-17,"Glasgow, Scotland",Garage,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-18,"Leeds, England",Cockpit,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-19,"Birmingham, England",Academy 2,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-20,"Portsmouth, England",Wedgewood Rooms,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-21,"Oxford, England",Zodiac,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-22,"London, England",Mean Fiddler,"Hawthorne Heights, Spitalfield, Bayside",

2005-10-27,"Indianapolis, IN",Egyptian Room,"Hawthorne Heights, Bayside, Aiden",

2005-10-28,"Sauget, IL",Pop's,"Hawthorne Heights, Bayside, Aiden",

2005-10-29,"Lawrence, KS",Granada Theatre,"Hawthorne Heights, Bayside, Aiden",

2005-10-30,"Boulder, CO",Boulder Theatre,"Hawthorne Heights, Bayside, Aiden",

2005-11-05,"Anaheim, CA",House of Blues,"Hawthorne Heights, Aiden",Matinee Show

2005-11-05,"Anaheim, CA",House of Blues,"Hawthorne Heights, Aiden",

2005-11-06,"Los Angeles, CA",House of Blues,"Hawthorne Heights, Aiden",

2005-11-07,"San Diego, CA",SOMA,"Hawthorne Heights, Aiden",

2005-11-08,"Scottsdale, AZ",Venue of Scottsdale,"Hawthorne Heights, Aiden",

2005-11-09,"Albuquerque, NM",Sunshine Theatre,"Hawthorne Heights, Aiden",

2005-11-10,"Oklahoma City, OK",Bricktown,"Hawthorne Heights, Aiden",

2005-11-11,"Dallas, TX",Gypsy Tea Room,"Hawthorne Heights, Aiden",

2005-11-12,"Austin, TX",La Zona Rosa,"Hawthorne Heights, Aiden",

2005-11-13,"Houston, TX",Numbers,"Hawthorne Heights, Aiden",

2005-11-14,"St. Petersburg, FL",Jannus Landing,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-16,"Orlando, FL",House of Blues,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-17,"Atlanta, GA",The Masquerade,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-18,"Charlotte, NC",The Casbah,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-19,"Norfolk, VA",The Norva,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-20,"Washington, DC",9:30 Club,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-21,"Pittsburgh, PA",Mr. Small's,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-22,"Kettering, OH",The Attic,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-25,"Milwaukee, WI",The Rave,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-26,"Minneapolis, MN",Quest,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-29,"Cleveland, OH",House of Blues,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-11-30,"Toronto, ON",The Phoenix,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-01,"Montreal, QC",Spectrum,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-02,"Worcester, MA",The Palladium,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-03,"Sayerville, NJ",Starland Ballroom,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-04,"New York, NY",Nokia Theatre,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-06,"Philadelphia, PA",Electric Factory,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-07,"Albany, NY",Saratoga Winners,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-08,"Buffalo, NY",Town Ballroom,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-09,"Detroit, MI",Majestic Theatre,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-10,"Cincinnati, OH",Bogart’s,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-11,"Chicago, IL",House of Blues,"Hawthorne Heights, Aiden, Bayside (Acoustic)",

2005-12-17,"Burlington, ON",YMCA,"The Reason, 11 Minutes Away, Mare, The Sitcom",

2006-01-20,"Amsterdam, Netherlands",Paradiso,Simple Plan,

2006-01-21,"Brussels, Belgium",Ancienne Belgique,Simple Plan,

2006-01-22,"Koblenz, Germany",Circus Maximus,,

2006-01-23,"Copenhagen, Denmark",Vega,Simple Plan,

2006-01-24,"Malmo, Sweden",KB,Simple Plan,

2006-01-25,"Stockholm, Sweden",Arenen,Simple Plan,

2006-01-27,"Berlin, Germany",Huxley's,Simple Plan,

2006-01-28,"Cologne, Germany",Live Music Hall,Simple Plan,

2006-01-29,"Hamburg, Germany",Docks,Simple Plan,

2006-01-30,"Frankfurt, Germany",25,,

2006-01-31,"Munich, Germany",Georg Elser Halle,Simple Plan,

2006-02-01,"Vienna, Austria",Arena,Simple Plan,

2006-02-02,"Milan, Italy",Alcatraz,Simple Plan,

2006-02-03,"Zurich, Switzerland",Volkshaus,Simple Plan,

2006-02-04,"Karlsrhue, Germany",Stadmitte,Today Forever,

2006-02-05,"Modena, Italy",Vox Club,Simple Plan,

2006-02-07,"Barcelona, Spain",Palau Olimpic Vall d'Hebron,Simple Plan,

2006-02-08,"Madrid, Spain",Riviera,Simple Plan,

2006-02-10,"Paris, France",Elysee Montmarte,Simple Plan,

2006-02-17,"Toronto, ON",The Mod Club,"The Reason, Rosesdead, The Stickup",

2006-02-18,"Toronto, ON",The Mod Club,"The Reason, The Junction",

2006-02-21,"Detroit, MI",Saint Andrew's Hall,"Spitalfield, Stretch Armstrong, With Honor",

2006-02-22,"Chicago, IL",Metro,"Spitalfield, Stretch Armstrong, With Honor",

2006-02-23,"Cleveland, OH",House of Blues,"Spitalfield, Stretch Armstrong, With Honor",

2006-02-24,"New York, NY",Irving Plaza,"Spitalfield, Stretch Armstrong, The Sleeping",

2006-02-25,"Philadelphia, PA",Theatre of Living Arts,"Spitalfield, Stretch Armstrong, The Sleeping",

2006-02-26,"Boston, MA",Axis,"Spitalfield, Stretch Armstrong, The Sleeping",

2006-02-27,"New Haven, CT",Toad's Place,"Spitalfield, Stretch Armstrong, The Sleeping, Anberlin",

2006-02-28,"Poughkeepsie, NY",The Chance,"Spitalfield, Stretch Armstrong, The Sleeping",

2006-03-01,"Washington, DC",9:30 Club,"Matchbook Romance, The Early November, Amber Pacific, Paramore",Take Action Tour

2006-03-02,"Baltimore, MD",Sonar,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-03,"Norfolk, VA",The Norva,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-04,"Richmond, VA",The Canal Club,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-05,"Charlotte, NC",Tremont Music Hall,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-08,"Orlando, FL",House of Blues,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-09,"Ft. Lauderdale, FL",Revolution,"Matchbook Romance, The Early November, Amber Pacific",Take Action Tour

2006-03-10,"Gainesville, FL",Common Grounds,,

2006-03-11,"Atlanta, GA",The Masquerade,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-13,"Austin, TX",Emo's,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-14,"Houston, TX",Warehouse Live,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-15,"Dallas, TX",Granada Theatre,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-16,"San Antonio, TX",The White Rabbit,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-17,"McAllen, TX",La Villa Real Center,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-19,"Albuquerque, NM",Sunshine Theatre,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-20,"Tucson, AZ",Rialto Theatre,"Matchbook Romance, The Early November, Amber Pacific, Man Alive",Take Action Tour

2006-03-21,"Anaheim, CA",Chain Reaction,,

2006-03-22,"Anaheim, CA",House of Blues,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-23,"Los Angeles, CA",House of Blues,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-24,"San Diego, CA",House of Blues,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-25,"Ventura, CA",Alpine,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-26,"Phoenix, AZ",Marquee Theatre,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-27,"Las Vegas, NV",House of Blues,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-28,"Bakersfield, CA",The Dome,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-29,"San Francisco, CA",The Fillmore,"Matchbook Romance, The Early November, Amber Pacific, I Am Ghost",Take Action Tour

2006-03-30,"Salt Lake City, UT",Avalon Theatre,"The New Amsterdams, I Am The Avalanche ",

2006-04-01,"Halfiax, NS",The Pavillion,Inward Eye,JUNOFest All Ages Matinee

2006-04-01,"Halifax, NS",The Marquee,Inward Eye,JUNOFest

2006-04-05,"Edmonton, AB",Shaw Events Center,"Deftones, Thrice, Thursday, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-06,"Calgary, AB",Saddledome,"Deftones, Thrice, Thursday, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-08,"Saskatoon, SK",Saskatchewan Place,"Deftones, Thrice, Thursday, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-09,"Winnipeg, MB",MTS Centre,"Deftones, Thrice, Thursday, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-12,"London, ON",John Labatt Centre,"Deftones, Thrice, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-13,"Toronto, ON",Arrow Hall,"Deftones, Thrice, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-14,"Ottawa, ON",Corel Centre,"Deftones, Thrice, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-15,"Montreal, QC",Stade Unipri,"Deftones, Thrice, Atreyu, As I Lay Dying, Dredg",Taste of Chaos

2006-04-16,"Quebec, QC",Theatre Imperial,"As I Lay Dying, Surplus Son, Adair",

2006-04-21,"London, England",Garage,,

2006-04-22,"Leeds, England",Cockpit,,

2006-04-23,"Paris, France",Batofar,,

2006-04-24,"Munster, Germany",Triptychion,Today Forever,

2006-04-25,"Cologne, Germany",Prime Club,Today Forever,

2006-04-26,"Amsterdam, Netherlands",Melkweg,,

2006-04-28,"Meerhout, Belgium",Groezrock Festival,"Taking Back Sunday, Thrice, Goldfinger, Underoath, Aiden, Say Anything",

2006-04-29,"Manchester, England",MEN Arena,"Lostprophets, Angels & Airwaves, Taking Back Sunday, Goldfinger, We Are Scientists, Aiden, Say Anything, Classic Case, Bayside, Gym Class Heroes, The Blackout",Give It A Name Festival

2006-04-30,"London, England",Earl's Court,"Lostprophets, Angels & Airwaves, Taking Back Sunday, Goldfinger, We Are Scientists, Aiden, Say Anything, Classic Case, Bayside, Gym Class Heroes, The Blackout",Give It A Name Festival

2006-05-05,"Buffalo, NY",The Icon,"The Sleeping, House of Heroes, One Way Letter",

2006-05-06,"East Rutheford, NJ",Meadowlands,"Fall Out Boy, The All American Rejects, Hawthorne Heights, From First To Last, Armor For Sleep, Thursday, Motion City Soundtrack, Streetlight Manifesto, Bayside, The Sleeping + more",Bamboozle Festival

2006-05-07,"Centreville, VA",Bull Run Events Center,"Motion City Soundtrack, All Time Low, Amber Pacific, Hidden In Plain View, House of Heroes, Mae, Reliant K, The Sleeping + more",Flipside Festival

2006-05-20,"Tokyo, Japan",Astro Hall,,

2006-05-22,"Osaka, Japan",Club Quattro,,

2006-05-24,"Leederville, Australia",HQ Skatepark,,All Ages Matinee

2006-05-24,"Perth, Australia",The Rosemount,,18

2006-05-26,"Adelaide, Australia",Fowler's Live,"I Killed The Prom Queen, The Getaway Plan",

2006-05-27,"Melbourne, Australia",The Corner Hotel,"I Killed The Prom Queen, The Getaway Plan",18

2006-05-28,"Melbourne, Australia",The Corner Hotel,"I Killed The Prom Queen, The Getaway Plan",All Ages

2006-05-31,"Brisbane, Australia",The Basement,"I Killed The Prom Queen, The Getaway Plan",18

2006-06-01,"Byron Bay, Australia",Byron Bay Youth Centre,"I Killed The Prom Queen, The Getaway Plan",

2006-06-02,"Brisbane, Australia",Lion's Den,"I Killed The Prom Queen, The Getaway Plan",All Ages

2006-06-03,"Sydney, Australia",Manning Bar,"I Killed The Prom Queen, The Getaway Plan",

2006-06-04,"Newcastle, Australia",The Cambridge Hotel,"I Killed The Prom Queen, The Getaway Plan",

2006-06-10,"Hamilton, ON",Hamilton Convention Centre,"Protest The Hero, Cancer Bats, Dead & Divine, The Stick Up, Cain & Abel",

2006-06-15,"Columbia, MD",Merriweather Post Pavillion,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-16,"Columbus, OH",Germain Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-17,"Milwaukee, WI",Marcus Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-18,"Minneapolis, MN",The Metrodome,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-19,"Bonner Springs, KS",Verizon Wireless Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-21,"Antioch, TN",Starwood Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-22,"Jacksonville, FL",Jacksonville Fairgrounds,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-23,"St. Petersburg, FL",Vinoy Park,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-24,"Miami, FL",Bayfront Park,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-25,"Orlando, FL",Tinker Field,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-26,"Ladson, SC",Exchange Park Fairgrounds,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-27,"Raleigh, NC",Alltel Pavillion,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-28,"Atlanta, GA",HiFi Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-06-30,"Houston, TX",Reliant Center,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-01,"Dallas, TX",Smirnoff Music Center,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-02,"San Antonio, TX",Verizon Wireless Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-03,"Las Cruces, NM",NMSU Practice Field,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-05,"Phoenix, AZ",Peoria Sports Complex,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-06,"San Diego, CA",Coors Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-07,"Pomona, CA",Pomona Fairplex,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-08,"San Francisco, CA",Pier 30/32,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-09,"Fresno, CA",Selland Arena,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-11,"Ventura, CA",Seaside Park,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-12,"Los Angeles, CA",Dodger Stadium,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-13,"Sacramento, CA",Sleep Train Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

